_vocab,accounting,pharmacy,baseball,robotics
salary,0.3779154819524962,0.12373066055942987,0.27796481852041915,-0.02001999549128399
soon,0.20181051964395588,0.11713553579876967,0.06845938517291555,0.05365889928604303
financial,0.5868269545410073,0.15400136336574577,0.1504997162574674,0.09603046319241307
planner,0.3652114724796319,0.2519245074314902,0.03889152191480349,0.3143257840645419
stopped,-0.0022819156917666256,0.06861883245443869,0.0895761687702837,0.19143741462589273
desk,0.2199648533570208,0.15906312985330348,0.03938438578454502,0.2752195510459128
drop,0.2643639595492722,0.15208022880123687,0.16251023726871575,0.0052873519585724775
insurance,0.4453486290420341,0.3030637624171008,0.07222028499348905,0.0902861023734645
available,0.15407007770413866,0.07393457133537698,0.15836620441643937,0.2393093252353215
furthest,0.08180943002240136,-0.004878615451400989,0.3117072576541631,0.21689111754000578
thing,0.07556403959802983,0.10370648059555498,0.18155302099361814,0.16210964018944798
says,0.20943892274678574,0.18029297472058672,0.1155781202121908,0.17453893554569355
opec,0.2827251402532786,0.0641082320265776,0.22268406118512604,0.029753959044091817
nothing,0.04528983150895979,0.10890796272239459,0.2434767595776016,0.05673105586000058
douse,0.07972523380851963,0.13621376076515504,0.2587626156127031,0.07217154026544127
scorching,0.028960432918011193,0.014817642027089321,0.11472182206592489,-0.025166944579785484
markets,0.3142303335970405,0.08187281667610265,0.10101302043416656,0.21939697707857464
already,0.15166621768869448,0.028559335150237987,0.16554590659885723,0.0730137898047687
million,0.3910306709234881,0.031161763309403314,0.07095953442089176,0.13389284784632247
barrels,0.35147535699986193,-0.022612702704275414,0.181994441320425,0.1378952218873981
per,0.26048848950578196,-0.0026428154841743696,0.0268565229248624,0.2221942808307591
day,0.042376223580947225,0.17372397454149727,0.1089400610436062,0.07827238473665121
governor,0.1493268350203787,0.1414078481007252,0.13657361931528236,-0.023159411043160855
warning,0.16084081276710568,0.2862237419756953,0.028809582225224572,0.13372148206257556
fall,0.13922497816496063,0.15820443903132883,0.10465400064913612,0.17280738953014024
exporters,0.22268917293512588,-0.015731090009809802,0.14609393843738022,0.2311332993333943
consider,0.1863056544804532,0.14472686775553723,0.16906030248122572,0.1338421821069128
increasing,0.267915182784186,0.10725146009850507,0.13172840173397854,0.15378035086884473
output,0.25769148758228094,0.060975590934534425,0.15016126783128536,0.15916070633207383
cool,-0.014065944541675654,0.07012725893444004,0.15222951763876671,0.1931238371175507
record,0.08819790272078225,-0.009019093051919546,0.3010251572903726,0.1474385527573762
president,0.20230756596853255,0.12297183641020505,0.15862871534913311,0.12621756737165657
purnomo,0.24180672183936297,0.09030367201344891,0.17207256045220673,0.0848279657377951
yusgiantoro,0.25692628318671457,0.14512199562325206,0.19732766312529512,0.13926519520087938
auction,0.3511831138363311,-1.9108842954858524e-05,0.12371047887173445,0.025724473607254005
google,0.2955970029766452,0.060418556577720973,0.1484895805214885,0.17992795506985793
highly,0.1850168298149978,0.18889725178549166,0.11575740011534905,0.14053749666998447
anticipated,0.2618906697089259,-0.005118457254628797,0.20787910436198814,-0.0013034724315872112
initial,0.3301137630486127,0.10396332748347127,0.07787156267975831,0.014732444096164688
public,0.16934312542047947,0.2842174102509704,0.10931796225953531,0.11710137444223759
offering,0.2350939866615302,0.08269416468323353,0.05477353778954589,0.20348635182407232
got,0.14053401457690742,0.1069321986676167,0.21501401937473985,0.02643427012810901
rocky,0.12631131991218486,0.03401997945163989,0.1938204213043533,0.07909758371916242
start,0.14343666068278096,0.10363625145400324,0.14796059820288923,0.06766442258876863
web,0.27434000458677144,0.14751051632365433,0.0985803480094981,0.17866764562221993
search,0.3246258438019851,0.0329776220377884,0.15136005813512765,0.1995058246447077
sidestepped,0.08159515687267643,0.08024037965425232,0.017430579350008586,0.16578953941592525
bullet,0.0400921358293613,0.2240484192881693,0.15083562120592076,0.1083151413050998
securities,0.5413523590261177,0.18212438501820907,0.16960087057079773,0.11199978763061598
dollar,0.2660341134846323,0.029790114502189706,0.17109294932646069,0.07922366423021746
tumbled,0.19018109781445147,0.2388945764790832,0.048556389589370925,0.10636580896313212
broadly,0.04812347508864066,0.04280647354683428,0.10652037922188368,0.15533704933643716
data,0.2682022171662754,0.2229958493540247,0.01230673183901543,0.29142551674405126
showing,0.17645938942695855,0.2228163972624064,0.1665350967534135,-0.045310794858088116
trade,0.1299363596953827,0.08064909404281281,0.16941561854149678,0.13056004007156818
deficit,0.11037052036723037,0.16739010015608033,0.2547235823764307,0.07779901775535879
june,0.2278824940402129,0.016396959940691014,0.07383412870518494,0.22867593749216014
cast,0.06147444184130057,0.13042059157391042,0.08805459925083695,0.12728769293778258
fresh,0.12259605901991415,0.04818521375492723,0.012836103185235911,0.006831176624417666
doubts,0.2076526779334171,0.09428740598124487,0.08814260465994686,0.03027436032329268
recovery,0.17806524219087094,0.30178692012677455,-0.0017093367073771732,0.15419427183823303
ability,0.1885845422725617,0.04848682635638142,0.15213199447735154,0.19356298316738896
draw,0.13393616842017364,0.04093253203201396,0.2511484772196171,0.1637527154218413
foreign,0.18229740438147762,0.12284142057049009,0.07021268644510777,0.1826858958141845
